datetime,shape,duration (seconds),latitude,longitude 
04/24/12,light,30,53.233333,-0.533333
08/07/13,other,90,53.233333,-0.533333
03/18/14,light,180,53.233333,-0.533333
03/15/12,unknown,120,53.220565,-6.659308
01/20/14,unknown,180,53.213147,-3.133831
01/06/10,fireball,180,53.202661,-3.030351
06/20/12,unknown,20,53.2,-105.75
03/10/12,light,5,53.2,-1.15
09/21/12,disk,300,53.1704,-6.5341
08/20/11,sphere,60,53.166667,-2.583333
11/04/12,sphere,40,53.166667,-2.583333
09/21/12,fireball,120,53.166667,-1.583333
09/21/12,other,15,53.166667,-1.583333
08/29/11,light,300,53.15,-0.216667
08/21/13,changing,600,53.139954,-108.491104
05/22/10,fireball,600,53.133333,-1.2
02/06/10,light,120,53.133333,0.35
04/05/14,cross,180,53.116667,-1.266667
09/21/12,fireball,30,53.1,-1.383333
01/10/11,triangle,240,53.1,9.15
06/01/11,cigar,60,53.032141,-6.759773
08/11/12,chevron,240,53.002668,-2.179404
03/20/14,circle,5,53,-2.183333
03/11/12,chevron,30,52.991834,-6.985728
04/14/10,sphere,20,52.983333,-0.016667
01/03/11,light,40,52.983333,-0.016667
03/17/12,fireball,180,52.983333,13.333333
01/31/10,light,40,52.97894,-0.026577
01/07/12,light,30,52.97894,-0.026577
06/01/13,light,60,52.97894,-0.026577
11/12/11,light,20,52.966667,-1.883333
01/01/13,fireball,120,52.966667,-1.883333
06/02/10,fireball,600,52.966667,-1.3
01/02/10,triangle,10,52.966667,-1.166667
06/30/10,light,7,52.966667,-1.166667
12/25/10,circle,180,52.966667,-1.166667
08/18/12,chevron,5,52.966667,-1.166667
08/29/13,light,60,52.966667,-1.166667
03/12/11,formation,600,52.960561,5.920522
04/13/13,light,90,52.955637,-0.113399
01/27/11,light,900,52.95,0.5
10/08/12,sphere,300,52.916667,-82.433333
10/17/12,sphere,480,52.906367,-1.257422
09/21/12,other,300,52.883333,-4.416667
08/05/13,fireball,5,52.881484,20.619795
08/10/10,sphere,180,52.833333,-2
09/07/12,other,25200,52.829726,-106.880179
07/24/12,circle,15,52.814028,-1.637136
01/12/14,light,180,52.814028,-1.637136
08/30/13,other,180,52.8,-106.216667
12/31/13,circle,300,52.766667,-108.283333
03/11/10,sphere,360,52.716667,-2.733333
11/15/10,chevron,5,52.692123,6.193719
11/11/13,light,3600,52.683333,-113.566667
07/01/10,light,300,52.683333,-1.816667
07/12/10,circle,300,52.683333,-1.816667
01/01/10,fireball,5,52.664913,-1.034894
08/11/12,unknown,900,52.654145,-7.244788
04/10/10,oval,120,52.644862,-6.228617
05/08/13,teardrop,3,52.636878,-1.139759
03/03/12,sphere,60,52.633333,1.3
01/01/13,oval,40,52.633333,1.3
04/19/13,light,20,52.633333,1.3
11/05/13,oval,5,52.633333,1.3
08/25/13,sphere,4,52.633333,1.75
11/12/10,unknown,300,52.616667,-1.683333
01/01/10,light,1200,52.6,-2
09/21/11,circle,120,52.6,-2
09/25/10,fireball,600,52.583333,-2.133333
09/21/12,changing,18,52.583333,-2.133333
01/23/10,light,10,52.583333,-1.883333
04/07/12,rectangle,180,52.583333,-0.25
06/29/13,other,60,52.566667,-1.816667
12/04/11,unknown,1800,52.566667,-0.666667
10/17/13,other,60,52.566667,1.116667
01/01/10,circle,420,52.527666,-1.348303
04/17/10,diamond,240,52.516667,13.4
07/28/12,circle,300,52.516667,13.4
10/20/12,unknown,1500,52.516667,13.4
06/14/13,light,30,52.516667,13.4
08/29/13,,180,52.483333,-2.183333
06/26/10,other,60,52.483333,-0.666667
07/15/12,oval,300,52.483333,-0.666667
08/02/10,flash,10,52.466667,-113.733333
05/18/10,triangle,3600,52.466667,-1.916667
06/26/10,fireball,90,52.466667,-1.916667
11/13/10,light,60,52.466667,-1.916667
11/13/11,sphere,159,52.466667,-1.916667
04/22/12,sphere,60,52.466667,-1.916667
04/23/12,other,1200,52.466667,-1.916667
06/09/12,circle,420,52.466667,-1.916667
02/02/14,circle,2,52.466667,-1.916667
03/08/14,triangle,5,52.466667,-1.916667
03/24/14,,180,52.466667,-1.916667
07/31/10,,120,52.416667,-1.55
12/25/10,light,5,52.416667,-1.55
03/12/11,triangle,600,52.416667,-1.55
03/26/13,cigar,4,52.416667,-1.55
01/04/14,oval,600,52.416667,-1.55
02/02/14,oval,180,52.416667,-0.8
06/22/10,disk,20,52.4,-0.716667
02/07/10,cylinder,120,52.366667,-108.216667
01/10/10,circle,900,52.355518,-1.17432
02/26/10,disk,30,52.355518,-1.17432
04/02/11,light,6,52.355518,-1.17432
04/16/12,changing,120,52.355518,-1.17432
08/20/12,unknown,2,52.355518,-1.17432
10/30/12,light,3600,52.355518,-1.17432
12/01/12,light,60,52.355518,-1.17432
05/06/13,unknown,6,52.355518,-1.17432
01/01/11,sphere,30,52.355085,6.659865
01/15/10,circle,10,52.35,-2.266667
08/12/10,triangle,20,52.336916,-6.463338
01/01/10,circle,360,52.333333,-2.066667
12/25/12,circle,30,52.333333,-0.533333
03/16/14,circle,30,52.333333,0.083333
03/23/12,unknown,30,52.311421,4.870087
07/07/10,triangle,30,52.302419,-0.693964
02/25/10,triangle,120,52.3,-2.583333
02/13/10,fireball,180,52.3,-1.116667
02/22/10,sphere,1200,52.27131,-9.699932
08/25/10,fireball,120,52.266667,-113.8
07/26/13,light,1800,52.221537,6.893662
11/22/13,fireball,10,52.2,-105.116667
01/16/12,triangle,30,52.166667,-2.166667
04/18/10,sphere,120,52.142736,6.196058
05/18/10,other,30,52.133333,-106.666667
10/01/10,changing,60,52.133333,-106.666667
07/29/12,triangle,30,52.133333,-106.666667
08/27/12,unknown,80,52.133333,-106.666667
08/30/13,chevron,5,52.133333,-106.666667
04/01/14,unknown,10,52.133333,-2.2
10/28/10,diamond,150,52.133333,-0.45
06/21/13,cylinder,3,52.133333,11.65
08/27/10,oval,2,52.130661,-3.783712
10/20/11,triangle,1800,52.116667,-122.15
07/27/11,formation,2400,52.116667,-2.316667
03/13/10,disk,3600,52.091874,5.096623
05/01/12,light,7200,52.089803,-9.792584
05/05/13,fireball,15,52.086897,4.882819
07/03/10,diamond,240,52.083333,-114.75
07/03/10,formation,300,52.083333,-114.75
08/05/13,sphere,240,52.083333,-4.666667
10/29/11,sphere,10,52.083333,-2.75
03/05/14,oval,30,52.083333,1.166667
03/10/10,sphere,900,52.058119,5.405432
05/10/10,sphere,180,52.05,-2.716667
08/11/11,light,300,52.05,-2.716667
06/15/13,light,240,52.033333,-113.95
06/30/13,light,240,52.033333,-113.95
09/27/12,light,300,52.016667,-4.833333
01/03/10,fireball,60,51.994167,-4.696111
03/10/11,sphere,180,51.994167,-4.696111
11/28/10,rectangle,20,51.985103,5.89873
08/27/11,sphere,2700,51.933333,0.25
06/30/10,light,180,51.921667,4.481111
01/08/12,light,900,51.921667,4.481111
11/01/12,sphere,300,51.916667,-0.65
06/11/10,circle,600,51.916667,-0.216667
05/18/13,light,600,51.895927,0.891874
03/07/10,circle,300,51.883333,-0.516667
08/12/13,triangle,180,51.883333,-0.416667
09/04/10,circle,300,51.883333,0.9
02/13/10,light,180,51.866667,0.683333
09/24/12,triangle,300,51.859167,-4.311667
09/17/10,disk,1200,51.851509,4.548581
05/21/11,light,60,51.85,-105.033333
09/21/12,other,8,51.833333,-4.166667
06/27/10,oval,300,51.833333,-0.25
05/06/14,circle,240,51.833333,6.6
03/18/12,disk,180,51.8,-0.066667
01/09/10,fireball,30,51.782296,-1.314047
03/01/10,,120,51.766667,-3.766667
07/21/10,unknown,1800,51.750635,4.092097
04/11/10,fireball,120,51.75,-3.383333
01/01/10,fireball,120,51.75,-2.2
09/15/11,sphere,120,51.75,-1.25
08/12/12,circle,120,51.733333,-56.416667
09/19/10,light,3600,51.710417,-108.012174
09/21/12,fireball,600,51.7025,-4.775278
02/27/10,circle,300,51.7,-1.783333
09/21/12,fireball,120,51.688333,-4.244444
05/22/12,other,480,51.666667,-3
01/23/10,light,300,51.666667,-1.283333
01/09/13,circle,60,51.65,-0.266667
01/10/11,other,600,51.633333,-3.966667
05/22/12,disk,60,51.633333,-3.966667
01/07/13,flash,10,51.633333,-3.966667
01/19/12,,5,51.611667,-2.5125
03/07/13,unknown,120,51.608866,0.032439
02/10/14,other,172800,51.6,-2.95
07/16/13,light,1800,51.55,0.25
08/15/12,disk,900,51.533333,0.55
07/07/11,fireball,120,51.516667,-1.783333
01/01/10,diamond,10,51.514125,-0.093689
02/13/10,light,120,51.514125,-0.093689
03/07/10,circle,120,51.514125,-0.093689
03/15/10,light,900,51.514125,-0.093689
03/27/10,fireball,420,51.514125,-0.093689
04/24/10,flash,5,51.514125,-0.093689
07/10/10,light,30,51.514125,-0.093689
07/11/10,changing,120,51.514125,-0.093689
07/11/10,circle,180,51.514125,-0.093689
08/06/10,rectangle,60,51.514125,-0.093689
12/14/10,light,3,51.514125,-0.093689
02/18/11,fireball,240,51.514125,-0.093689
03/30/11,,300,51.514125,-0.093689
04/05/11,light,900,51.514125,-0.093689
04/09/11,sphere,3,51.514125,-0.093689
06/14/11,light,120,51.514125,-0.093689
08/21/11,teardrop,120,51.514125,-0.093689
10/30/11,circle,180,51.514125,-0.093689
02/11/12,circle,300,51.514125,-0.093689
05/24/12,formation,30,51.514125,-0.093689
05/25/12,triangle,120,51.514125,-0.093689
06/09/12,circle,3,51.514125,-0.093689
07/31/12,egg,45,51.514125,-0.093689
08/19/12,triangle,13,51.514125,-0.093689
09/08/12,teardrop,120,51.514125,-0.093689
09/28/12,circle,60,51.514125,-0.093689
09/30/12,circle,300,51.514125,-0.093689
11/05/12,circle,60,51.514125,-0.093689
01/01/13,oval,1800,51.514125,-0.093689
10/01/13,fireball,30,51.514125,-0.093689
12/09/13,fireball,180,51.514125,-0.093689
01/09/14,changing,5,51.514125,-0.093689
06/10/12,circle,2,51.51323,-0.08849
02/17/10,light,30,51.508515,-0.125487
10/25/11,sphere,3600,51.505833,-3.577222
04/12/12,triangle,5,51.5,-3.2
10/18/12,light,3600,51.5,-3.2
